"","iexito","eexito","eadm"
"1",1724822,-0.763510669506766,-0.20852296642784
"2",1736895,-0.753920070009989,-0.212567253633639
"3",1753324,-0.751002096589107,-0.213199043645099
"4",2295038,-0.742006450437858,-0.192961075154311
"5",1863853,-0.754361529584146,-0.214440731109159
"6",2101829,-0.75489537921496,-0.131775230049638
"7",2026470,-0.75216756231279,-0.173117292632015
"8",2852558,-0.733986828663957,-0.274578466064494
"9",2455425,-0.74530030442795,-0.213874991091155
"10",2396800,-0.739575684245661,-0.145541138184246
"11",2438775,-0.744694775040748,-0.179298213242304
"12",2938673,-0.728589060436462,-0.170083912024237
"13",2604463,-0.745134793621564,-0.176589185563396
"14",2510463,-0.73809213678911,-0.187455063070039
"15",2512150,-0.734659156499413,-0.185543856855681
"16",3069885,-0.721722149201029,-0.167268480741135
"17",2408433,-0.745113524021636,-0.208021149020961
"18",2536681,-0.762851142891045,-0.188145060415559
"19",2397401,-0.741096295530034,-0.202723699539626
"20",3142307,-0.747549173266648,-0.174348655303253
"21",3090063,-0.747427803251908,-0.233227607333572
"22",2953432,-0.741824765222291,-0.167022298126383
"23",2498310.822856,-0.735067992275935,-0.187126979062423
"24",3189089.28,-0.759314508749031,-0.171731540023507
"25",3465823.4527775,-0.723139262787829,-0.191061903432365
"26",3431337.87836182,-0.699021926759891,-0.189190729025373
"27",3905398.32169829,-0.691290752548079,-0.182845712274188
"28",4736400.48893107,-0.667138915847441,-0.183930516213194
"29",3687022.81918947,-0.805413334756899,-0.191343090850873
"30",3572557.91974722,-0.787158822234764,-0.187117064038353
"31",3826626.62281352,-0.855807907099223,-0.177929261039676
"32",4400049.85849976,-0.843787087752439,-0.177884140411221
"33",3975917.79488628,-0.720644782667508,-0.183222558438765
"34",3725021.55171122,-0.688287574600631,-0.177293120889649
"35",3881882.62285258,-0.698842140759524,-0.176556935767451
"36",4963999.82125944,-0.671136494000179,-0.172942816314968
